date,time,testing_party,site,subsite,type,body_wave_magnitude,surface_wave_magnitude,explosive_yield,latitude,longitude,purpose,device_type,rock_type,device_position,name,references
610910,,CP,NZ,,TMO,,,LOW,73.000N,055.000E,,,,,,N
610912,100800.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
610913,,CP,NZ,,TMO,,,LOW,73.000N,055.000E,,,,,,N
610913,,CP,KTS,,TMO,,,LOW,50.000N,078.000E,,,,,,N
610914,095616.7,CP,NZ,,TMO,,,g1000,74.600N,051.100E,,,,,,N
610915,,US,NTS,,UNN,,,2.6,,,WR,,,,ANTLER,E
610916,,US,NTS,,HFT,,,LOW,,,WR,,,,SHREW,E
610916,090800.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
610917,,CP,KTS,,TMO,,,0-150,50.000N,078.000E,,,,,,N
610918,075936.8,CP,NZ,,TMO,,,g1000,74.000N,052.000E,,,,,,N
610920,081200.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
610922,080100.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611002,103100.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611004,073054.8,CP,NZ,,TMO,,,g1000,73.700N,053.800E,,,,,,N
611006,070000.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611006,,CP,KPY,,TMO,,,~200,,,,,,,,N
611008,,CP,NZ,,TMO,,,LOW,73.000N,055.000E,,,,,,N
611001,,US,NTS,,HFT,,,LOW,,,WR,,,,BOOMER,E
611010,,US,NTS,,UNN,,,LOW,,,WR,,,,CHENA,E
611011,073959.9,CP,,,NDG,,,l20,49.772N,077.995E,,,,,,A
611012,,CP,KTS,,TMO,,,LOW,50.000N,078.000E,,,,,,N
611020,,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611021,,CP,SYS,,TMO,,,l5,,,,,,,,N
611023,083122.1,CP,NZ,,TMO,,,25000,73.900N,053.800E,,,,,,N
611023,103048.8,CP,NZ,,NDW,,,LOW,70.700N,053.500E,,,,,,N
611025,083300.0,CP,NZ,,TMO,,,l1000,73.000N,055.000E,,,,,,N
611027,083026.6,CP,NZ,,TMO,,,0-150,70.700N,053.500E,,,,,,N
611027,,CP,SYS,,TMO,,,l5,,,,,,,,N
611029,,US,NTS,,HFT,,,LOW,,,WR,,,,MINK,E
611030,083300.0,CP,NZ,,TMO,,,58000,73.000N,055.000E,,,,,,N
611031,082900.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611031,083800.0,CP,NZ,,TMO,,,l1000,73.000N,055.000E,,,,,,N
611102,084100.0,CP,NZ,,,,,0-150,73.000N,055.000E,,,,,,N
611104,072000.0,CP,NZ,,TMO,,,g1000,73.000N,055.000E,,,,,,N
611107,112959.9,FR,ECK,,UNN,,,8,24.057N,005.052E,WR,,,,AGATE,N
611203,,US,NTS,,HFT,,,13.4,,,WR,,,,FISHER,E
611210,,US,CLS,,HFT,,,3,,,PS,,,,GNOME,E
611213,,US,NTS,,HFT,,,0.50,,,WR,,,,MAD,E
611217,,US,NTS,,HFT,,,LOW,,,WR,,,,RINGTAIL,E
611222,,US,NTS,,UNN,,,LOW,,,WR,,,,FEATHER,E
620109,,US,NTS,,HFT,,,5.1,,,WR,,,,STOAT,E
620118,,US,NTS,,HFT,,,6.4,,,WR,,,,AGOUTI,E
620130,,US,NTS,,HFT,,,LOW,,,WR,,,,DORMOUSE,E
620202,080000.2,CP,KTS,,NDG,,,l20,49.777N,078.001E,,,,,,A
620208,,US,NTS,,HFT,,,3.07,,,WR,,,,STILLWAT,E
620209,,US,NTS,,HFT,,,7.1,,,WR,,,,ARMADILO,E
620215,,US,NTS,,HFT,,,5.7,,,WE,,,,HARD HAT,E
620219,,US,NTS,,HFT,,,1.9,,,WR,,,,CHINCHIL,E
620219,,US,NTS,,HFT,,,LOW,,,WR,,,,CODSAW,E
620223,,US,NTS,,HFT,,,11.90,,,WR,,,,CIMARRON,E
620224,,US,NTS,,HFT,,,LOW,,,WR,,,,PLATYPUS,E
620301,,GB,NTS,,HFT,,,LOW,,,,,,,PAMPAS,E
620305,,US,NTS,,RAT,,,0.43,,,WE,,,,DANNYBOY,E
620306,,US,NTS,,HFT,,,LOW,,,WR,,,,ERMINE,E
620308,,US,NTS,,HFT,,,8.4,,,WR,,,,BRAZOS,E
620315,,US,NTS,,HFT,,,LOW,,,WR,,,,HOGNOSE,E
620328,,US,NTS,,HFT,,,3.40,,,WR,,,,HOOSIC,E
620331,,US,NTS,,HFT,,,LOW,,,WR,,,,CHINCHI2,E
620405,,US,NTS,,HFT,,,10.6,,,WR,,,,DORMOUSp,E
620406,,US,NTS,,HFT,,,LOW,,,WR,,,,PASSAIC,E
620412,,US,NTS,,HFT,,,LOW,,,WR,,,,HUDSON,E
620414,,US,NTS,,UNN,,,1.85,,,WR,,,,PLATTE,E
620421,,US,NTS,,HFT,,,LOW,,,WR,,,,DEAD,E
620425,,US,CHR,,IRD,,2,-1000,,,WR,,,,ADOBE,E
